LOCAL,TIPO_ACID,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,HORA,DIA_SEM,TEMPO,REGIAO,FATAIS,FERIDOS_GR
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,18:15,QUARTA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,08:30,QUARTA-FEIRA,CHUVOSO,NORTE,0,0
Cruzamento,CHOQUE,2,0,0,0,0,0,0,0,0,0,11:35,QUARTA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,09:40,QUARTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,17:50,QUARTA-FEIRA,BOM,LESTE,0,0
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,08:15,QUARTA-FEIRA,BOM,NORTE,0,1
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,17:00,QUARTA-FEIRA,BOM,NORTE,0,1
Logradouro,ABALROAMENTO,1,0,1,0,0,0,0,0,0,0,15:10,QUINTA-FEIRA,NUBLADO,CENTRO,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,10:40,QUINTA-FEIRA,CHUVOSO,SUL,0,0
Logradouro,COLISAO,0,1,1,0,0,0,0,0,0,0,21:00,QUINTA-FEIRA,NUBLADO,CENTRO,0,0
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,11:40,QUINTA-FEIRA,NUBLADO,CENTRO,0,1
Logradouro,COLISAO,2,1,0,0,0,0,0,0,0,0,16:45,QUINTA-FEIRA,NUBLADO,SUL,0,0
Logradouro,COLISAO,1,1,0,0,0,0,0,0,0,0,15:40,QUINTA-FEIRA,NUBLADO,NORTE,0,0
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,03:00,QUINTA-FEIRA,NUBLADO,SUL,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,1,0,0,14:30,QUINTA-FEIRA,BOM,CENTRO,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,16:30,QUINTA-FEIRA,NUBLADO,CENTRO,0,0
Logradouro,CHOQUE,2,0,0,0,0,0,0,0,0,0,15:45,QUINTA-FEIRA,BOM,SUL,0,0
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,08:50,QUINTA-FEIRA,BOM,LESTE,0,0
Cruzamento,CHOQUE,1,0,0,0,0,0,0,0,0,0,08:40,QUINTA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,18:45,QUINTA-FEIRA,BOM,LESTE,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,13:45,QUINTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,13:00,QUINTA-FEIRA,BOM,NORTE,0,0
Logradouro,EVENTUAL,0,1,0,0,0,0,1,0,0,0,10:20,QUINTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,19:30,QUINTA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,17:30,QUINTA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,1,0,0,0,11:00,QUINTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,08:25,QUINTA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,18:30,QUINTA-FEIRA,CHUVOSO,LESTE,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,17:20,QUINTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,09:15,QUINTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,CHOQUE,2,0,0,0,0,0,0,0,0,0,15:25,QUINTA-FEIRA,NUBLADO,SUL,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,13:20,QUINTA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,17:30,QUINTA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,0,0,0,0,0,0,0,2,0,0,07:10,QUINTA-FEIRA,CHUVOSO,SUL,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,01:50,SEXTA-FEIRA,BOM,SUL,0,0
Logradouro,COLISAO,3,0,0,0,0,0,0,0,0,0,21:00,SEXTA-FEIRA,BOM,SUL,0,0
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,15:40,SEXTA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,11:30,SEXTA-FEIRA,BOM,SUL,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,17:30,SEXTA-FEIRA,NUBLADO,CENTRO,0,0
Logradouro,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,06:10,SEXTA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,2,0,0,0,0,0,1,0,0,0,10:43,SEXTA-FEIRA,BOM,SUL,0,0
Logradouro,EVENTUAL,1,0,0,0,0,0,0,0,0,0,11:00,SEXTA-FEIRA,NUBLADO,SUL,0,0
Cruzamento,ABALROAMENTO,1,1,0,0,0,0,0,0,0,0,14:15,SEXTA-FEIRA,NUBLADO,SUL,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,11:29,SEXTA-FEIRA,BOM,SUL,0,1
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,07:20,SEXTA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,16:29,SEXTA-FEIRA,NUBLADO,CENTRO,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,09:10,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,15:35,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,11:20,SEXTA-FEIRA,BOM,CENTRO,0,0
Cruzamento,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,00:18,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,19:30,SEXTA-FEIRA,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,1,0,1,0,0,0,0,0,0,0,07:30,SEXTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,18:45,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,13:00,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,06:00,SEXTA-FEIRA,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,06:20,SEXTA-FEIRA,BOM,NORTE,0,0
Logradouro,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,17:40,SEXTA-FEIRA,BOM,LESTE,0,1
Logradouro,COLISAO,2,0,0,0,0,0,1,0,0,0,15:00,SEXTA-FEIRA,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,15:50,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,15:15,SEXTA-FEIRA,BOM,LESTE,0,0
Cruzamento,COLISAO,1,0,0,0,0,0,0,1,0,0,10:00,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,23:00,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,18:10,SEXTA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,11:30,SEXTA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,0,0,0,1,0,0,0,1,0,0,16:20,SEXTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,07:40,SEXTA-FEIRA,BOM,NORTE,0,0
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,14:55,SEXTA-FEIRA,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,1,0,0,0,12:30,SEXTA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,16:00,SABADO,NUBLADO,SUL,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,11:15,SABADO,BOM,CENTRO,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,1,0,0,16:50,SABADO,BOM,SUL,0,1
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,04:50,SABADO,BOM,SUL,0,1
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,17:00,SABADO,BOM,SUL,0,0
Logradouro,CHOQUE,2,0,0,0,0,0,0,0,0,0,06:20,SABADO,BOM,CENTRO,0,0
Logradouro,ABALROAMENTO,0,1,1,0,0,0,0,0,0,0,12:35,SABADO,BOM,CENTRO,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,06:00,SABADO,BOM,CENTRO,0,0
Cruzamento,COLISAO,1,0,0,0,0,0,0,1,0,0,18:30,SABADO,NUBLADO,SUL,0,0
