;LATITUDE;LONGITUDE
2260;-30.098442;-51.248326
2261;-30.036456;-51.232698
2262;-30.039414;-51.228504
2263;-30.045165;-51.227290999999994
2264;-30.086545;-51.220157
2265;-30.131596999999996;-51.218046
2266;-30.020818;-51.215194
2267;-30.032689;-51.215068
2268;-30.04645;-51.213645
2269;-30.062646;-51.206088
2270;-30.042199;-51.205107
2271;-30.116567;-51.204578999999995
2272;-30.039781;-51.203948
2273;-30.088703999999996;-51.202559
2274;-30.162681;-51.201812
2275;-30.006653000000004;-51.201438
2276;-30.023643;-51.200789
2277;-30.056313;-51.196456
2278;-30.056804999999997;-51.196418
2279;-30.019844;-51.193938
2280;-30.020907;-51.190940000000005
2281;-29999750.0;-51.189657000000004
2282;-30.019875;-51.189166
2283;-30.017856;-51.18633
2284;-30.007718;-51.181891
2285;-30.02635;-51.178948
2286;-29987436.0;-51.178255
2287;-30.027571999999996;-51.17729
2288;-29986639.0;-51.17103
2289;-30.002219;-51.170819
2290;-30.054644;-51.169073
2291;-30.03984;-51.167849
2292;-30.151870000000002;-51.161115
2293;-29984413.0;-51.161015
2294;-30.04372;-51.155358
2295;-30.012756;-51.154731
2296;-30.040748999999998;-51.152519
2297;-30.009621000000003;-51.150979
2298;-30.006025;-51.131187
2299;-30.039087;-51.12669
2300;-29990190.0;-51.125964
2301;-30.075937;-51.125714
2302;-30.022959000000004;-51.124117
2303;-29981773.0;-51.122554
2304;-30.014121999999997;-51.119071999999996
2305;-29991403.0;-51.112132
2306;-30.030043;-51.106735
2307;-30.028444;-51.106662
2308;-29990600.0;-51.095507
2309;-29996809.0;-51.088704
2310;-30.097789000000002;-51.242490999999994
2311;-30.091881;-51.233336
2312;-30.036340000000003;-51.225952
2313;-30.136958;-51.221075
2314;-30.053153000000002;-51.214154
2315;-30.024034999999998;-51.200475
2316;-30.003985999999998;-51.199152000000005
2317;-30.135296000000004;-51.195547999999995
2318;-29996819.0;-51.190496
2319;-30.017059000000003;-51.186434999999996
2320;-30.155148999999998;-51.182969
2321;-30.155148999999998;-51.182969
2322;-30.002321999999996;-51.180424
2323;-30.014122999999998;-51.171871
2324;-30.012666999999997;-51.164826
2325;-30.039236;-51.16382
2326;-30.019438;-51.161221000000005
2327;-30.043993;-51.161105
2328;-30.012834;-51.154689000000005
2329;-30.096909000000004;-51.126020000000004
2330;-30.047177;-51.229323
2331;-30.024951;-51.220795
2332;-30.056590000000003;-51.215528000000006
2333;-30.033005;-51.214531
2334;-30.050427000000003;-51.205545
2335;-30.072546999999997;-51.199657
2336;-30.072503;-51.199571
2337;-30.05511;-51.188579
2338;-30.056733;-51.184075
2339;-30.118025;-51.177046999999995
2340;-30.007389;-51.158719
2341;-30.018976000000002;-51.116673
2342;-30.026947999999997;-51.228952
2343;-30.035184;-51.228029
2344;-30.100084999999996;-51.227834
2345;-30.034090999999997;-51.221845
2346;-30.050016999999997;-51.218148
2347;-30.141495000000003;-51.217991
2348;-30.058553999999997;-51.216516999999996
2349;-30.0229;-51.216462
2350;-30.040919;-51.215897
2351;-30.054114000000002;-51.21457
2352;-30.015653000000004;-51.214535999999995
2353;-30.023046;-51.210386
2354;-30.014134000000002;-51.209207
2355;-30.047905;-51.199461
2356;-30.027454;-51.196078
2357;-30.016827000000003;-51.194287
2358;-30.024990000000003;-51.19332
2359;-30.058831;-51.192425
2360;-30.010703999999997;-51.188531
2361;-30.051629;-51.187912
2362;-30.056841;-51.183921999999995
2363;-30.056841;-51.183921999999995
2364;-30.025078000000004;-51.182429
2365;-30.051144;-51.181039
2366;-30.035839000000003;-51.174997
2367;-29969973.0;-51.171067
2368;-30.011428000000002;-51.169761
2369;-29987257.0;-51.164649
2370;-30.032675;-51.159462
2371;-29997093.0;-51.152115
2372;-30.009562;-51.151223
2373;-30.062615;-51.149812
2374;-30.066875;-51.147886
2375;-29994230.0;-51.138033
2376;-30.009601;-51.132831
2377;-30.149285;-51.132678000000006
2378;-30.012248;-51.131659
2379;-30.075415000000003;-51.131197
2380;-29983064.0;-51.112132
2381;-30.121238;-51.107993
2382;-29990153.0;-51.101417
2383;-30.106375;-51.253845
2384;-30.091103000000004;-51.245746000000004
2385;-30.02747;-51.232372999999995
2386;-30.093084;-51.232213
2387;-30.095741999999998;-51.231045
2388;-30.056164000000003;-51.230173
2389;-30.030047999999997;-51.227729
2390;-30.024147999999997;-51.222995000000004
2391;-30.042740999999996;-51.221914
2392;-30.135137;-51.219271
2393;-30.023196000000002;-51.21908
2394;-30.028557;-51.217988
2395;-30.043946999999996;-51.216988
2396;-30.040222999999997;-51.216363
2397;-30.142687;-51.21613
2398;-30.025709999999997;-51.215582
2399;-30.080896000000003;-51.214301
2400;-30.042988;-51.214257
2401;-30.064615999999997;-51.212364
2402;-30.064041999999997;-51.208775
2403;-30.069148;-51.204507
2404;-30.007169;-51.201640000000005
2405;-30.009228000000004;-51.201204
2406;-30.023723999999998;-51.20075
2407;-30.004329;-51.198013
2408;-30.038631;-51.196764
2409;-30.008776;-51.189448999999996
2410;-30.054603000000004;-51.188475
2411;-30.052312;-51.186927000000004
2412;-30.065908;-51.17848
2413;-30.136097999999997;-51.173085
2414;-30.049090000000003;-51.170243
2415;-30.035975;-51.168362
2416;-30.061072999999997;-51.166045000000004
2417;-30.021939;-51.161242
2418;-30.028131;-51.157769
2419;-30.020789;-51.151632
2420;-30.015007;-51.146217
2421;-29996887.0;-51.140896999999995
2422;-30.035966;-51.135373
2423;-30.001884999999998;-51.134648
2424;-30.010276;-51.133192
2425;-30.082638;-51.131803000000005
2426;-30.075415000000003;-51.131197
2427;-30.015044;-51.131102
2428;-30.03877;-51.12549
2429;-30.075931;-51.123478000000006
2430;-30.019659000000004;-51.101804
2431;-29994443.0;-51.099983
2432;-30.102984999999997;-51.243895
2433;-30.063189;-51.229178999999995
2434;-30.026771000000004;-51.229001000000004
2435;-30.041147;-51.228691999999995
2436;-30.025482;-51.227503999999996
2437;-30.034009;-51.226386
2438;-30.036421;-51.225986999999996
2439;-30.030725;-51.224796000000005
2440;-30.146728999999997;-51.224786
2441;-30.125705;-51.223539
2442;-30.02413;-51.222896999999996
2443;-30.136021999999997;-51.221743
2444;-30.0317;-51.219232
2445;-30.078371999999998;-51.217889
2446;-30.058542;-51.217228999999996
2447;-30.028531;-51.213502000000005
2448;-30.020525;-51.213246000000005
2449;-30.063060999999998;-51.213004
2450;-30.021851;-51.211721999999995
2451;-30.079927;-51.210115
2452;-30.048515000000002;-51.209965000000004
2453;-30.087068;-51.209182
2454;-30.015641;-51.208327000000004
2455;-30.070921999999996;-51.206394
2456;-30.009667999999998;-51.206387
2457;-30.027836999999998;-51.204296
2458;-30.042208000000002;-51.203917
2459;-30.023723999999998;-51.20075
2460;-30.001128;-51.199335999999995
2461;-30.002312;-51.198516
2462;-30.045029;-51.197885
2463;-30.017046999999998;-51.197633
2464;-30.017046999999998;-51.197633
2465;-30.039828999999997;-51.195928
2466;-30.038942;-51.195817
2467;-30.071153000000002;-51.19229
2468;-30.07345;-51.191741
2469;-30.008710999999998;-51.189515
2470;-30.019070000000003;-51.186257
2471;-30.007918;-51.178915
2472;-30.093513;-51.178206
2473;-30.007270000000002;-51.172419
2474;-30.033825;-51.170116
2475;-30.039267;-51.164193
2476;-30.158659000000004;-51.160368
2477;-30.054796000000003;-51.159355
2478;-30.040306;-51.156388
2479;-30.009605;-51.1492
2480;-30.059901;-51.148768
2481;-30.016537;-51.108292
2482;-30.038289000000002;-51.104317
2483;-30.005177000000003;-51.094238
2484;-29989411.0;-51.092645000000005
2485;-30.200490000000002;-51.091274
2486;-30.041228999999998;-51.233461
2487;-30.085089;-51.231116
2488;-30.032195;-51.229555
2489;-30.050756;-51.225611
2490;-30.052823999999998;-51.222233
2491;-30.033261;-51.221416
2492;-30.031603999999998;-51.219521
2493;-30.032581;-51.215337
2494;-30.015653000000004;-51.214535999999995
2495;-30.027117999999998;-51.214162
2496;-30.060381;-51.210972999999996
2497;-30.016859999999998;-51.208706
2498;-29999891.0;-51.206503000000005
2499;-30.057164;-51.201876
2500;-30.032842;-51.201254
2501;-30.154103999999997;-51.199238
2502;-30.054833000000002;-51.19854
2503;-30.001034000000004;-51.190115000000006
2504;-30.054603000000004;-51.188475
2505;-30.004864;-51.18592
2506;-30.042472999999998;-51.18228
2507;-30.038727;-51.176429
2508;-30.039787;-51.172394
2509;-30.038831;-51.171646
2510;-30.007652;-51.169056
2511;-29974066.0;-51.167084
2512;-30.008511;-51.16626
2513;-30.013697999999998;-51.166235
2514;-30.009239;-51.157494
2515;-30.00957;-51.152152
