LOCAL,TIPO_ACID,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,HORA,DIA_SEM,TEMPO,REGIAO,HORA.1,ACID_GRAVE
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,MANHA,SEXTA-FEIRA,BOM,CENTRO,MANHA,SIM
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,NOITE,SEXTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,SEXTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,CHOQUE,0,0,0,0,0,0,0,1,0,0,MANHA,SEXTA-FEIRA,BOM,LESTE,MANHA,SIM
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,NOITE,SEXTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,SEXTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,SABADO,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,NOITE,DOMINGO,BOM,SUL,NOITE,SIM
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,MANHA,DOMINGO,BOM,NORTE,MANHA,SIM
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,DOMINGO,BOM,NORTE,NOITE,SIM
Cruzamento,COLISAO,1,0,1,0,0,0,0,0,0,0,NOITE,SEGUNDA-FEIRA,CHUVOSO,CENTRO,NOITE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,NOITE,SEGUNDA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,NOITE,SEGUNDA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,0,0,1,0,0,0,0,0,0,0,NOITE,TERCA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,NOITE,TERCA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,MANHA,QUARTA-FEIRA,BOM,CENTRO,MANHA,SIM
Logradouro,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,ATROPELAMENTO,0,1,0,0,0,0,0,0,0,0,TARDE,QUINTA-FEIRA,BOM,SUL,TARDE,SIM
Cruzamento,QUEDA,0,0,0,0,0,0,0,1,0,0,MANHA,QUINTA-FEIRA,BOM,NORTE,MANHA,SIM
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,QUINTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,NOITE,SEXTA-FEIRA,CHUVOSO,SUL,NOITE,SIM
