LOCAL,TIPO_ACID,DIA_SEM,TEMPO,REGIAO,HORA_DISCRETIZADA,ACID_GRAVE
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,CHOQUE,SEXTA-FEIRA,BOM,LESTE,MADRUGADA,SIM
Logradouro,QUEDA,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,QUEDA,SEGUNDA-FEIRA,BOM,LESTE,MANHA,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,NUBLADO,LESTE,MANHA,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,QUEDA,SEGUNDA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,DOMINGO,BOM,NORTE,MANHA,SIM
Logradouro,QUEDA,SEXTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ABALROAMENTO,TERCA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,CHOQUE,DOMINGO,BOM,SUL,MADRUGADA,SIM
Logradouro,ABALROAMENTO,DOMINGO,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,TERCA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,SABADO,BOM,NORTE,NOITE,SIM
Cruzamento,ABALROAMENTO,QUARTA-FEIRA,BOM,NORTE,NOITE,SIM
Cruzamento,ABALROAMENTO,QUARTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,DOMINGO,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,SABADO,BOM,CENTRO,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,TERCA-FEIRA,BOM,LESTE,MANHA,SIM
Logradouro,ATROPELAMENTO,TERCA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,NUBLADO,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,SUL,NOITE,SIM
Cruzamento,ABALROAMENTO,QUARTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ATROPELAMENTO,SABADO,BOM,SUL,TARDE,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,CENTRO,MANHA,SIM
Logradouro,ATROPELAMENTO,DOMINGO,BOM,CENTRO,MADRUGADA,SIM
Cruzamento,ABALROAMENTO,SEGUNDA-FEIRA,BOM,LESTE,MADRUGADA,SIM
Logradouro,ABALROAMENTO,DOMINGO,BOM,NORTE,NOITE,SIM
Logradouro,CHOQUE,SEXTA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,CHOQUE,SEXTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,BOM,SUL,NOITE,SIM
Cruzamento,ABALROAMENTO,SEGUNDA-FEIRA,BOM,LESTE,MADRUGADA,SIM
Logradouro,COLISAO,SEGUNDA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,CHOQUE,SABADO,BOM,SUL,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,SABADO,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,TERCA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,ABALROAMENTO,DOMINGO,CHUVOSO,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,CHOQUE,SEGUNDA-FEIRA,BOM,CENTRO,MADRUGADA,SIM
Logradouro,ABALROAMENTO,SABADO,BOM,SUL,MANHA,SIM
Logradouro,QUEDA,QUARTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,QUEDA,DOMINGO,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,DOMINGO,BOM,CENTRO,MADRUGADA,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,TERCA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,CHOQUE,QUARTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,TERCA-FEIRA,BOM,CENTRO,NOITE,SIM
Cruzamento,QUEDA,QUINTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,SEXTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,DOMINGO,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,SABADO,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,LESTE,MADRUGADA,SIM
Logradouro,COLISAO,DOMINGO,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,ATROPELAMENTO,SABADO,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,CENTRO,MADRUGADA,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,ATROPELAMENTO,SABADO,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,SABADO,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,TERCA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
