;LATITUDE;LONGITUDE;LOCAL;TIPO_ACID;DIA_SEM;FERIDOS;FERIDOS_GR;FATAIS;TEMPO;NOITE_DIA;KMeans
300;-29988093.0;-51.190511;1;1;4;1;1;0;0;1;4
301;-30.06021;-51.190226;1;1;4;1;0;0;0;0;1
302;-30.055132;-51.18866;1;1;4;3;1;0;0;1;4
303;-30.014464;-51.186653;0;1;4;0;0;0;0;0;0
304;-30.002123;-51.185898;0;3;4;0;0;0;0;0;0
305;-30.031111;-51.183402;1;3;4;0;0;0;0;0;8
306;-30.046805;-51.178211;1;1;4;1;0;0;0;0;1
307;-30.012808000000003;-51.171927;1;1;4;1;0;0;0;1;7
308;-29974030.0;-51.16993400000001;1;1;4;0;0;0;0;0;6
309;-30.010907;-51.1677;1;3;4;0;0;0;0;0;8
310;-30.01057;-51.161894;1;1;4;0;0;0;0;1;7
311;-30.063087;-51.158755;1;1;4;1;0;0;0;1;7
312;-29998105.0;-51.157429;1;3;4;0;0;0;0;0;6
313;-30.057299;-51.155862;1;3;4;0;0;0;0;0;8
314;-30.027256;-51.154186;0;3;4;0;0;0;0;0;0
315;-30.064377;-51.152296;1;3;4;1;0;0;0;0;8
316;-30.064642;-51.151482;0;1;4;1;1;0;0;0;4
317;-30.011805;-51.150082;0;1;4;0;0;0;0;1;7
318;-30.024686;-51.136973;1;1;4;0;0;0;0;1;7
319;-30.032061;-51.135031;1;1;4;1;0;0;0;0;1
320;-30.074513;-51.133985;1;3;4;0;0;0;0;1;7
321;-30.024961;-51.107866;1;1;4;1;0;0;0;1;7
322;-30.112206;-51.242729;0;1;5;0;0;0;0;1;7
323;-30.112206;-51.242729;1;1;5;1;0;0;0;0;1
324;-30.098236;-51.239805;1;1;5;1;0;0;0;0;1
325;-30.097156;-51.231605;1;1;5;0;0;0;0;0;8
326;-30.10092;-51.230303;1;1;5;1;1;0;0;0;4
327;-30.113111;-51.226295;1;3;5;0;0;0;0;0;8
328;-30.032141;-51.220959;1;1;5;0;0;0;0;0;8
329;-30.024514;-51.219821;1;1;5;0;0;0;0;0;8
330;-30.038863;-51.219582;0;1;5;0;0;0;0;0;0
