LOCAL;TIPO_ACID;HORA_DISCRETIZADA;DIA_SEM;TEMPO;REGIAO;ACID_GRAVE
Logradouro;ABALROAMENTO;MANHA;TERCA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;BOM;CENTRO;NAO
Cruzamento;ABALROAMENTO;MADRUGADA;DOMINGO;CHUVOSO;LESTE;NAO
Logradouro;CHOQUE;MANHA;QUARTA-FEIRA;BOM;SUL;NAO
Cruzamento;COLISAO;NOITE;SABADO;BOM;SUL;NAO
Logradouro;QUEDA;NOITE;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;MANHA;QUARTA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;TARDE;QUARTA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;TARDE;SEXTA-FEIRA;NUBLADO;NORTE;NAO
Logradouro;COLISAO;MANHA;TERCA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;NOITE;SABADO;BOM;NORTE;NAO
Logradouro;ATROPELAMENTO;MANHA;SABADO;CHUVOSO;CENTRO;NAO
Logradouro;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;SUL;NAO
Logradouro;CHOQUE;MANHA;SEXTA-FEIRA;NUBLADO;CENTRO;NAO
Cruzamento;COLISAO;MANHA;QUARTA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;MANHA;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;CHOQUE;TARDE;SEGUNDA-FEIRA;CHUVOSO;SUL;NAO
Cruzamento;COLISAO;TARDE;DOMINGO;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;TARDE;QUARTA-FEIRA;BOM;SUL;NAO
Logradouro;CHOQUE;MANHA;TERCA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;BOM;CENTRO;NAO
Logradouro;ATROPELAMENTO;MANHA;DOMINGO;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;TARDE;SEXTA-FEIRA;NUBLADO;LESTE;NAO
Cruzamento;COLISAO;TARDE;TERCA-FEIRA;NUBLADO;CENTRO;NAO
Logradouro;COLISAO;TARDE;SABADO;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;MANHA;QUARTA-FEIRA;CHUVOSO;SUL;NAO
Cruzamento;ABALROAMENTO;TARDE;TERCA-FEIRA;BOM;NORTE;NAO
Logradouro;ATROPELAMENTO;NOITE;TERCA-FEIRA;BOM;LESTE;NAO
Logradouro;QUEDA;MANHA;SEXTA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;SEXTA-FEIRA;NUBLADO;CENTRO;NAO
Logradouro;COLISAO;NOITE;QUINTA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;NORTE;NAO
Cruzamento;COLISAO;TARDE;TERCA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;QUINTA-FEIRA;CHUVOSO;CENTRO;NAO
Logradouro;ABALROAMENTO;NOITE;SEXTA-FEIRA;CHUVOSO;SUL;NAO
Cruzamento;COLISAO;TARDE;SEXTA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;TARDE;SEXTA-FEIRA;BOM;SUL;NAO
Cruzamento;COLISAO;MANHA;SEXTA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;TARDE;SEXTA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;MADRUGADA;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;TARDE;SEXTA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;TERCA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;CHOQUE;TARDE;TERCA-FEIRA;BOM;NORTE;NAO
Cruzamento;COLISAO;MANHA;SEGUNDA-FEIRA;BOM;LESTE;NAO
Cruzamento;CHOQUE;MADRUGADA;QUINTA-FEIRA;CHUVOSO;LESTE;NAO
Logradouro;ATROPELAMENTO;NOITE;SEGUNDA-FEIRA;BOM;SUL;NAO
Cruzamento;COLISAO;MANHA;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;TARDE;DOMINGO;CHUVOSO;SUL;NAO
Logradouro;COLISAO;NOITE;SEXTA-FEIRA;CHUVOSO;SUL;NAO
Cruzamento;ABALROAMENTO;NOITE;QUARTA-FEIRA;BOM;NORTE;NAO
Cruzamento;CHOQUE;TARDE;QUARTA-FEIRA;BOM;NORTE;NAO
